
Current Date --> 2024-08-12 00:00:00
Machine ID --> M003
2024-08-12 14:11:08 2 953 1723452068
2024-08-12 14:11:18 2 953 1723452078
2024-08-12 14:11:28 2 953 1723452088
2024-08-12 14:11:38 2 953 1723452098
2024-08-12 14:11:48 2 953 1723452108
2024-08-12 14:11:58 2 953 1723452118
2024-08-12 14:12:08 2 953 1723452128
2024-08-12 14:12:18 2 953 1723452138
2024-08-12 14:12:28 2 953 1723452148
2024-08-12 14:12:38 2 953 1723452158
2024-08-12 14:12:48 2 953 1723452168
2024-08-12 14:12:58 2 953 1723452178
2024-08-12 14:13:08 2 953 1723452188
2024-08-12 14:13:18 2 953 1723452198
2024-08-12 14:13:28 2 953 1723452208
2024-08-12 14:13:38 2 953 1723452218
2024-08-12 14:13:48 2 953 1723452228
2024-08-12 14:13:58 2 953 1723452238
2024-08-12 14:14:08 2 953 1723452248
2024-08-12 14:14:18 2 953 1723452258
2024-08-12 14:14:28 2 953 1723452268
2024-08-12 14:14:38 2 953 1723452278
2024-08-12 14:14:48 2 953 1723452288
2024-08-12 14:14:58 2 953 1723452298
2024-08-12 14:15:08 2 953 1723452308
2024-08-12 14:15:18 2 953 1723452318
2024-08-12 14:15:28 2 953 1723452328
2024-08-12 14:15:38 2 953 1723452338
2024-08-12 14:15:48 2 953 1723452348
2024-08-12 14:15:58 2 953 1723452358
2024-08-12 14:16:08 2 953 1723452368
2024-08-12 14:16:18 2 953 1723452378
2024-08-12 14:16:28 2 953 1723452388
2024-08-12 14:16:38 2 953 1723452398
2024-08-12 14:16:48 2 953 1723452408
2024-08-12 14:16:58 2 953 1723452418
2024-08-12 14:17:08 2 953 1723452428
2024-08-12 14:17:18 2 953 1723452438
2024-08-12 14:17:28 2 953 1723452448
